runid,num_q,num_ret,num_rel,num_rel_ret,map,gm_map,Rprec,bpref,recip_rank,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,P_5,P_10,P_15,P_20,P_30,P_100,P_200,P_500,P_1000,ndcg_cut_10,set_recall,
textEN_DFI_23,50,50000,26664,9314,0.1592,0.1154,0.2620,0.3238,0.8442,0.8922,0.4889,0.3385,0.2195,0.1361,0.0675,0.0235,0.0083,0.0000,0.0000,0.0000,0.7240,0.6640,0.6467,0.6360,0.5900,0.4470,0.3844,0.2670,0.1863,0.6351,0.3563,
textEN_DFI_24,50,50000,26664,6908,0.0903,0.0499,0.1882,0.2369,0.6688,0.7394,0.3017,0.2049,0.1022,0.0582,0.0193,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.4080,0.3960,0.3810,0.3593,0.3038,0.2592,0.1957,0.1382,0.3714,0.2630,
textEN_DFI_25,50,50000,26664,7214,0.0943,0.0513,0.1933,0.2484,0.6688,0.7377,0.3099,0.2099,0.1177,0.0618,0.0225,0.0095,0.0000,0.0000,0.0000,0.0000,0.4640,0.4100,0.3960,0.3810,0.3573,0.3052,0.2610,0.1976,0.1443,0.3728,0.2769,
textEN_IBS_13,50,50000,26664,9264,0.1792,0.0990,0.2690,0.3051,0.8054,0.8639,0.5030,0.3884,0.2720,0.1609,0.0927,0.0507,0.0096,0.0061,0.0000,0.0000,0.7000,0.6720,0.6573,0.6320,0.5940,0.4806,0.3918,0.2693,0.1853,0.6124,0.3538,
textEN_IBS_14,50,50000,26664,10572,0.1960,0.1521,0.3012,0.3645,0.8577,0.9063,0.5651,0.4179,0.3053,0.1783,0.0923,0.0327,0.0000,0.0000,0.0000,0.0000,0.7800,0.7400,0.7160,0.6670,0.6447,0.5198,0.4277,0.3026,0.2114,0.6916,0.4025,
textEN_IBS_15,50,50000,26664,10200,0.1879,0.1445,0.2924,0.3531,0.8721,0.9079,0.5445,0.4118,0.2833,0.1677,0.0866,0.0311,0.0000,0.0000,0.0000,0.0000,0.7440,0.7380,0.7160,0.6770,0.6167,0.5094,0.4215,0.2959,0.2040,0.6899,0.3898,
textEN_IBS_16,50,50000,26664,7998,0.1094,0.0589,0.2110,0.2715,0.5816,0.7007,0.3357,0.2428,0.1612,0.0894,0.0437,0.0029,0.0000,0.0000,0.0000,0.0000,0.4880,0.4500,0.4293,0.4200,0.3980,0.3218,0.2822,0.2156,0.1600,0.3821,0.3052,
textEN_IBS_18,50,50000,26664,7501,0.1409,0.0758,0.2289,0.2483,0.8401,0.8739,0.4591,0.3071,0.1767,0.0984,0.0435,0.0097,0.0000,0.0000,0.0000,0.0000,0.6960,0.6640,0.6293,0.6010,0.5660,0.4352,0.3482,0.2342,0.1500,0.6199,0.2768,
textEN_IBS_19,50,50000,26664,8337,0.1620,0.0834,0.2519,0.2819,0.8405,0.8735,0.4787,0.3318,0.2408,0.1495,0.0638,0.0388,0.0097,0.0000,0.0000,0.0000,0.7000,0.6680,0.6360,0.6090,0.5700,0.4482,0.3677,0.2512,0.1667,0.6225,0.3166,
textEN_IBS_20,50,50000,26664,9451,0.1609,0.1186,0.2660,0.3264,0.8384,0.8855,0.4919,0.3537,0.2271,0.1205,0.0616,0.0030,0.0000,0.0000,0.0000,0.0000,0.7200,0.6920,0.6400,0.6380,0.6027,0.4594,0.3769,0.2698,0.1890,0.6504,0.3562,
textEN_IBS_21,50,50000,26664,9854,0.1699,0.1236,0.2751,0.3426,0.8384,0.8855,0.4980,0.3622,0.2443,0.1572,0.0685,0.0243,0.0053,0.0000,0.0000,0.0000,0.7200,0.6900,0.6427,0.6370,0.6060,0.4628,0.3822,0.2775,0.1971,0.6499,0.3759,
textEN_IBS_22,50,49556,26664,9049,0.1537,0.1156,0.2574,0.3149,0.8672,0.9001,0.4919,0.3450,0.2129,0.1270,0.0465,0.0113,0.0000,0.0000,0.0000,0.0000,0.7080,0.6680,0.6400,0.6100,0.5907,0.4470,0.3819,0.2629,0.1810,0.6440,0.3422,
textEN_IBS_23,50,50000,26664,9438,0.1643,0.1204,0.2680,0.3304,0.8670,0.9002,0.4929,0.3590,0.2234,0.1444,0.0686,0.0248,0.0103,0.0000,0.0000,0.0000,0.7080,0.6720,0.6387,0.6110,0.5913,0.4522,0.3878,0.2705,0.1888,0.6459,0.3625,
